"stock_date";"stock_price";"stock_open";"stock_high";"stock_low";"stock_volume";"stock_change";"Volatility_7";"MA_7";"daily_return"
"2025-11-12";1511.5;1505.0;1524.7;1500.0;12380000.0;1.21;1.08863;1489.44;1.212
"2025-11-11";1493.4;1497.0;1498.8;1480.2;7130000.0;0.28;0.660239;1485.86;0.275295
"2025-11-10";1489.3;1477.9;1501.0;1475.5;7070000.0;0.76;0.469658;1485.16;0.0
"2025-11-07";1478.0;1494.6;1498.4;1475.9;7820000.0;-1.21;0.965284;1487.29;-1.20981
"2025-11-06";1496.1;1484.0;1501.6;1476.2;16770000.0;1.56;0.870868;1488.56;0.0
"2025-11-04";1473.1;1483.9;1492.8;1470.1;10010000.0;-0.78;0.870868;1486.84;-0.781301
"2025-11-03";1484.7;1486.0;1495.0;1479.3;8450000.0;-0.11;0.793294;1483.77;0.0
"2025-10-31";1486.4;1490.4;1497.5;1482.3;8760000.0;-0.14;0.793294;1478.59;-0.14108
"2025-10-30";1488.5;1500.0;1503.1;1484.0;9320000.0;-1.04;0.791215;1475.56;-1.04374
"2025-10-29";1504.2;1490.0;1508.3;1488.1;11880000.0;1.16;0.552023;1472.46;1.16349
"2025-10-28";1486.9;1484.1;1492.0;1477.6;17630000.0;0.19;0.62922;1459.97;0.18867
"2025-10-27";1484.1;1463.0;1485.0;1458.0;14110000.0;2.24;0.881439;1447.31;0.0
"2025-10-24";1451.6;1450.0;1459.8;1441.0;9700000.0;0.22;0.865391;1431.63;0.22093
"2025-10-23";1448.4;1475.0;1482.9;1444.6;18710000.0;-1.15;0.885558;1420.81;0.0
"2025-10-21";1465.2;1468.0;1474.0;1460.0;2070000.0;-0.11;0.885558;1410.33;-0.109088
"2025-10-20";1466.8;1440.0;1473.8;1433.3;24720000.0;3.53;0.82431;1398.4;0.0
"2025-10-17";1416.8;1401.0;1423.3;1399.1;19340000.0;1.32;0.73842;1385.69;1.32304
"2025-10-16";1398.3;1375.1;1400.5;1375.0;12320000.0;1.75;0.993834;1378.63;1.74634
"2025-10-15";1374.3;1383.0;1384.0;1372.7;10880000.0;-0.12;0.73886;1376.7;-0.116286
"2025-10-14";1375.9;1380.0;1388.0;1370.1;9770000.0;0.07;0.81941;1376.8;0.0654563
"2025-10-13";1375.0;1376.9;1377.7;1367.8;7600000.0;-0.48;0.945675;1375.01;0.0
"2025-10-10";1381.7;1377.8;1388.0;1375.1;6370000.0;0.28;0.824846;1374.11;0.283053
"2025-10-09";1377.8;1374.0;1380.0;1369.1;8830000.0;0.76;0.893536;1371.59;0.760569
"2025-10-08";1367.4;1384.8;1389.0;1364.5;8530000.0;-1.26;0.901837;1370.87;-1.2565
"2025-10-07";1384.8;1376.0;1395.9;1375.9;11240000.0;0.71;0.583987;1372.33;0.712731
"2025-10-06";1375.0;1360.0;1377.4;1359.0;12400000.0;0.85;0.617437;1370.56;0.0
"2025-10-03";1363.4;1363.2;1371.6;1356.9;12840000.0;-0.39;0.553337;1371.7;0.0
"2025-10-01";1368.7;1367.0;1378.6;1362.7;12050000.0;0.34;0.500174;1375.47;0.344571
"2025-09-30";1364.0;1377.1;1377.1;1362.8;14600000.0;-0.64;0.471237;1378.6;-0.641029
"2025-09-29";1372.8;1381.6;1389.0;1368.0;14230000.0;-0.35;0.455288;1384.8;0.0
"2025-09-26";1377.6;1372.0;1382.7;1366.0;9880000.0;0.38;0.43565;1390.83;0.378895
"2025-09-25";1372.4;1381.3;1384.5;1369.0;11410000.0;-0.77;0.503422;1396.0;-0.766448
"2025-09-24";1383.0;1385.3;1396.0;1380.4;5920000.0;-0.49;0.466453;1400.7;-0.489283
"2025-09-23";1389.8;1391.0;1395.0;1376.8;14010000.0;-0.06;0.445478;1403.03;-0.0575239
"2025-09-22";1390.6;1403.9;1410.7;1388.0;7760000.0;-1.19;0.536977;1403.77;0.0
"2025-09-19";1407.4;1414.9;1417.0;1403.6;13460000.0;-0.54;0.485397;1402.73;-0.537101
"2025-09-18";1415.0;1420.4;1422.0;1410.7;9330000.0;0.08;0.303299;1398.39;0.0848742
"2025-09-17";1413.8;1407.0;1416.2;1406.9;7520000.0;0.6;0.36827;1392.84;0.604853
"2025-09-16";1405.3;1404.7;1408.0;1398.2;8690000.0;0.43;0.391376;1387.8;0.428786
"2025-09-15";1399.3;1393.0;1400.8;1388.6;5400000.0;0.31;0.544477;1383.47;0.0
"2025-09-12";1395.0;1383.3;1396.3;1380.5;7400000.0;0.85;0.763038;1377.76;0.8458
"2025-09-11";1383.3;1376.0;1385.5;1375.0;9770000.0;0.46;0.714458;1374.56;0.45752
"2025-09-10";1377.0;1383.9;1388.5;1374.1;7790000.0;0.06;0.776784;1372.16;0.0581346
"2025-09-09";1376.2;1376.6;1381.2;1368.7;9750000.0;-0.17;0.862587;1368.86;-0.166852
"2025-09-08";1378.5;1380.0;1386.0;1372.4;6990000.0;0.25;1.37615;1366.14;0.0
