"Date","Price","Open","High","Low","Vol.","Change %"
"12-11-2025","1,511.50","1,505.00","1,524.70","1,500.00","12.38M","1.21%"
"11-11-2025","1,493.40","1,497.00","1,498.80","1,480.20","7.13M","0.28%"
"10-11-2025","1,489.30","1,477.90","1,501.00","1,475.50","7.07M","0.76%"
"07-11-2025","1,478.00","1,494.60","1,498.40","1,475.90","7.82M","-1.21%"
"06-11-2025","1,496.10","1,484.00","1,501.60","1,476.20","16.77M","1.56%"
"04-11-2025","1,473.10","1,483.90","1,492.80","1,470.10","10.01M","-0.78%"
"03-11-2025","1,484.70","1,486.00","1,495.00","1,479.30","8.45M","-0.11%"
"31-10-2025","1,486.40","1,490.40","1,497.50","1,482.30","8.76M","-0.14%"
"30-10-2025","1,488.50","1,500.00","1,503.10","1,484.00","9.32M","-1.04%"
"29-10-2025","1,504.20","1,490.00","1,508.30","1,488.10","11.88M","1.16%"
"28-10-2025","1,486.90","1,484.10","1,492.00","1,477.60","17.63M","0.19%"
"27-10-2025","1,484.10","1,463.00","1,485.00","1,458.00","14.11M","2.24%"
"24-10-2025","1,451.60","1,450.00","1,459.80","1,441.00","9.70M","0.22%"
"23-10-2025","1,448.40","1,475.00","1,482.90","1,444.60","18.71M","-1.15%"
"21-10-2025","1,465.20","1,468.00","1,474.00","1,460.00","2.07M","-0.11%"
"20-10-2025","1,466.80","1,440.00","1,473.80","1,433.30","24.72M","3.53%"
"17-10-2025","1,416.80","1,401.00","1,423.30","1,399.10","19.34M","1.32%"
"16-10-2025","1,398.30","1,375.10","1,400.50","1,375.00","12.32M","1.75%"
"15-10-2025","1,374.30","1,383.00","1,384.00","1,372.70","10.88M","-0.12%"
"14-10-2025","1,375.90","1,380.00","1,388.00","1,370.10","9.77M","0.07%"
"13-10-2025","1,375.00","1,376.90","1,377.70","1,367.80","7.60M","-0.48%"
"10-10-2025","1,381.70","1,377.80","1,388.00","1,375.10","6.37M","0.28%"
"09-10-2025","1,377.80","1,374.00","1,380.00","1,369.10","8.83M","0.76%"
"08-10-2025","1,367.40","1,384.80","1,389.00","1,364.50","8.53M","-1.26%"
"07-10-2025","1,384.80","1,376.00","1,395.90","1,375.90","11.24M","0.71%"
"06-10-2025","1,375.00","1,360.00","1,377.40","1,359.00","12.40M","0.85%"
"03-10-2025","1,363.40","1,363.20","1,371.60","1,356.90","12.84M","-0.39%"
"01-10-2025","1,368.70","1,367.00","1,378.60","1,362.70","12.05M","0.34%"
"30-09-2025","1,364.00","1,377.10","1,377.10","1,362.80","14.60M","-0.64%"
"29-09-2025","1,372.80","1,381.60","1,389.00","1,368.00","14.23M","-0.35%"
"26-09-2025","1,377.60","1,372.00","1,382.70","1,366.00","9.88M","0.38%"
"25-09-2025","1,372.40","1,381.30","1,384.50","1,369.00","11.41M","-0.77%"
"24-09-2025","1,383.00","1,385.30","1,396.00","1,380.40","5.92M","-0.49%"
